Table S1: Unique studies reported in EWAS Atlas 
Stage,Platform,Sample size,Male(%),Age(min),Age(max),Age(mean),Age(sd),Tissue,Cohort name,Full name,Description,Ancestry,Tissue
Initial,27K,16,0.62,21,85,52,null,bone marrow,,,,Not reported,bone marrow
Initial,27K,160,0.5,5,79,29,null,leukocyte,SLSJ,Saguenay–Lac-SaintJean region,,European,leukocyte
Initial,27K,168,null,20,70,45,null,cerebellum,,,,Not reported,cerebellum
Initial,27K,17,0.59,16,68,55,null,apical left ventricular,,,,Not reported,apical left ventricular
Initial,27K,172,0,32,80,57.2,8.2,whole blood,TwinsUK,,"33 MZ pairs, 43 DZ pairs, and 20 singletons",European,whole blood
Initial,27K,176,0,27,89,62.9,12.7,leukocyte,,,control,European,leukocyte
Initial,27K,19,0.54,null,null,60.1,7.9,whole blood,COPDGene,,Current smokers,European,whole blood
Initial,27K,196,0,null,null,62.9,12.7,tumor tissue,,,Case,European,tumor tissue
Initial,27K,202,0,null,null,62.8,12.4,ovarian,,,Control,European,ovarian
Initial,27K,216,0.49,0,0,0,0,cord blood,,,,Not reported,cord blood
Initial,27K,23,0,19,75,46,null,breast,,,,Not reported,breast
Initial,27K,24,0.42,51,77,66,null,lung,,,,Not reported,lung
Initial,27K,26,null,null,null,null,null,whole blood,,,narcoleptic patients,East Asian,whole blood
Initial,27K,27,0.85,52,83,69,null,lung,,,,Not reported,lung
Initial,27K,279,null,null,null,null,null,blood,TCGA,,,Asian unspecified,blood
Initial,27K,28,0,0,0,0,0,placenta,,,,Not reported,placenta
Initial,27K,296,0,27,91,63,13,whole blood,,,Batch 2,European,whole blood
Initial,27K,344,0,null,null,57.1,8.8,whole blood,Sister Study,National Institute of Environmental Health Sciences (NIEHS) Sister Study,Former smoker,European,whole blood
Initial,27K,35,0.37,43,90,74,null,colon,,,,Not reported,colon
Initial,27K,355,0.52,2,61,28,null,leukocyte,MRCA,Medical Research Council Asthma,,Not reported,leukocyte
Initial,27K,41,0.49,43,87,69,null,stomach,,,,Not reported,stomach
Initial,27K,41,0.51,40,79,66,null,cartilage,,,,Not reported,cartilage
Initial,27K,496,0,null,null,55.1,9.1,whole blood,Sister Study,National Institute of Environmental Health Sciences (NIEHS) Sister Study,Never-smoker,European,whole blood
Initial,27K,5,1,null,null,64.4,5.3,pancreatic islet,,,Type 2 diabetes,European,pancreatic islet
Initial,27K,51,0.24,15,81,43,null,tumor tissue,,,Carcinomas,Not reported,tumor tissue
Initial,27K,52,null,25,88,68,null,gastric tissue,,,,Not reported,gastric tissue
Initial,27K,55,0.35,15,15,15,0,buccal epithelium,,,,European,buccal epithelium
Initial,27K,56,0.48,50,60,54,3,peripheral blood,ESTHER,,"Never smoker: lifetime smoking <= 100 cigarettes, never regularly smoking",Not reported,peripheral blood
Initial,27K,56,0.5,50,60,54,3,peripheral blood,ESTHER,,"Former smoker: abstinent for past 10+ years, but smoking >= 20 cigarettes per day before",Not reported,peripheral blood
Initial,27K,57,0.86,20,79,51,null,liver,,,,Not reported,liver
Initial,27K,65,0.54,50,60,54,3,peripheral blood,ESTHER,,Heavy smoker: smoking >= 20 cigarettes per day at ages 30 and 40 and at enrollment,Not reported,peripheral blood
Initial,27K,66,0.35,null,null,66.6,7.6,whole blood,COPDGene,,Former smokers,European,whole blood
Initial,27K,68,0,null,null,53.2,9.6,whole blood,Sister Study,National Institute of Environmental Health Sciences (NIEHS) Sister Study,Current smoker,European,whole blood
Initial,27K,69,0,33,-82,60.2,12,leukocyte,,,case,European,leukocyte
Initial,27K,69,1,21,55,35,null,saliva,,,,Not reported,saliva
Initial,27K,69,1,44,73,61,null,prostate,,,,Not reported,prostate
Initial,27K,715,0.62,16,88,33,null,whole blood,,,,Not reported,whole blood
Initial,27K,8,0.25,16,68,43,null,buccal epithelium,,,,Not reported,buccal epithelium
Initial,27K,84,0.08,22,78,48,null,tumor tissue,,,Adenomas,Not reported,tumor tissue
Initial,27K,87,0,33,85,60.2,12.1,leukocyte,,,control,European,leukocyte
Initial,27K,9,0.44,null,null,33.6,7.26,whole blood,,,pre-symptomatic,Not reported,whole blood
Initial,27K,93,0,49,75,null,null,peripheral blood mononuclear cell,,,31 twin pairs and 31 singletons,Not reported,peripheral blood mononuclear cell
Initial,27K,972,0.29,null,null,66.3,7.6,leukocyte,GENOA,Genetic Epidemiology Network of Arteriopathy,,African American or Afro-Caribbean,leukocyte
Initial,450K,1,0,10.6,10.6,10.6,0,bone marrow,,,t(4;11),European,bone marrow
Initial,450K,1,0,11.8,11.8,11.8,0,bone marrow,,,t(12;21) and trisomy 21,European,bone marrow
Initial,450K,1,1,11.75,11.75,11.75,0,bone marrow,,,Hypodiploidy,European,bone marrow
Initial,450K,1,1,12.92,12.92,12.92,0,bone marrow,,,Trisomy 5,European,bone marrow
Initial,450K,1,1,2.6,2.6,2.6,0,bone marrow,,,t(9;12) and monosomy 7,European,bone marrow
Initial,450K,1,1,3.8,3.8,3.8,0,bone marrow,,,t(1;19),European,bone marrow
Initial,450K,1,1,52,52,52,0,neutrophil,,,,European,neutrophil
Initial,450K,1,null,null,null,null,null,cardiomyocyte,,,24h PM2.5 exposure,Not reported,cardiomyocyte
Initial,450K,1,null,null,null,null,null,cardiomyocyte,,,control group,Not reported,cardiomyocyte
Initial,450K,1,null,null,null,null,null,fibroblast,,,healthy control,Not reported,fibroblast
Initial,450K,1,null,null,null,null,null,lymphoblastoid cell line,,,ICF patients,Not reported,lymphoblastoid cell line
Initial,450K,1,null,null,null,null,null,MCF10A cell line,,,,Not reported,MCF10A cell line
Initial,450K,1,null,null,null,null,null,untrasformed fibroblast,,,ICF patients,Not reported,untrasformed fibroblast
Initial,450K,10,0,21,52,36.4,10.6,CD14+ monocyte,,,control,European,CD14+ monocyte
Initial,450K,10,0,null,null,48.2,9.2,visceral adipose tissue,,,No Type 2 Diabetes,Not reported,visceral adipose tissue
Initial,450K,10,0.2,null,null,47,11,whole blood,,,worst responders,East Asian,whole blood
Initial,450K,10,0.5,0,0,0,0,cord blood,,,Exposed,Not reported,cord blood
Initial,450K,10,0.5,0,0,0,0,cord blood,,,Non-exposed,Not reported,cord blood
Initial,450K,10,0.5,28,67,44,13,neutrophil,,,primary APS,European,neutrophil
Initial,450K,10,0.5,null,null,52.7,18.5,whole blood,,,best responders,East Asian,whole blood
Initial,450K,10,0.5,null,null,59.6,11.9,colon,,,colorectal laterally spreading tumor,East Asian,colon
Initial,450K,10,0.5,null,null,59.6,11.9,colon,,,matched normal samples,Not reported,colon
Initial,450K,10,0.5,null,null,null,null,whole blood,,,Bipolar disorder and major depressive disorder patientsaffected carriers of the linked haplotye(ALH) ,Not reported,whole blood
Initial,450K,10,0.7,0,0,0,0,whole blood,,,Down syndrome,Not reported,whole blood
Initial,450K,10,0.7,null,null,37,9.8,whole blood,,,Controls,South Asian,whole blood
Initial,450K,10,0.7,null,null,37.4,10.2,whole blood,,,case,South Asian,whole blood
Initial,450K,10,1,null,null,18,5.5,whole blood,,,Tolerant,European,whole blood
Initial,450K,10,1,null,null,31.9,15.1,skin,,,NN,Not reported,skin
Initial,450K,10,1,null,null,46.6,4.4,peripheral blood,SABRE,Southall And Brent REvisited,Former smokers,South Asian,peripheral blood
Initial,450K,10,null,0,0,0,0,placenta,,,3rd Trimester control,Not reported,placenta
Initial,450K,10,null,0,0,0,0,placenta,,,3rd Trimester CPM16,Not reported,placenta
Initial,450K,100,0,18,82,37.2,null,breast,,,cancer-free women,African American or Afro-Caribbean;European;Hispanic or Latin American,breast
Initial,450K,100,0.11,null,null,56.1,13.6,whole blood,,,Patients with pSS,European,whole blood
Initial,450K,100,0.52,53,69,62,null,whole blood,Lifelines,,Type 2 diabetic individuals,European,whole blood
Initial,450K,100,0.66,null,null,72.8,6.3,whole blood,,,,East Asian,whole blood
Initial,450K,100,0.7,null,null,37.8,6.2,whole blood,,,Controls,East Asian,whole blood
Initial,450K,100,0.84,null,null,34.5,8.3,whole blood,,,Patients with BD,East Asian,whole blood
Initial,450K,100,1,null,null,48.3,7.8,whole blood,,,Past,European;Other,whole blood
Initial,450K,100,1,null,null,49.2,6.74,leukocyte,,,Smokers,African American or Afro-Caribbean,leukocyte
Initial,450K,100,1,null,null,49.7,8.7,leukocyte,,,Non-smokers,African American or Afro-Caribbean,leukocyte
Initial,450K,1000,0.5,null,null,62.1,6.5,whole blood,ESTHER,"Epidemiologische Studie zu Chancen der Verh€utung, Früherkennung und optimierten Therapie chronischer Erkrankungen in der älteren Bevölkerung",,European,whole blood
Initial,450K,101,0.55,0,0,0,0,umbilical cord blood,,,Exposed group,East Asian,umbilical cord blood
Initial,450K,101,0.61,46,93,67.8,null,tumor tissue,DACHS,,Metastatic CRC,Not reported,tumor tissue
Initial,450K,101,0.8,null,null,59,10.2,whole blood,ACS-1,,,East Asian,whole blood
Initial,450K,1011,null,null,null,69,null,whole blood,SATSA,Swedish Adoption/Twin Study of Aging,,European,whole blood
Initial,450K,1017,null,null,null,47.3,11,whole blood,LifeLines,,,European,whole blood
Initial,450K,1019,null,0,0,0,0,cord blood,MoBa1,Norwegian Mother and Child Cohort Study,,Not reported,cord blood
Initial,450K,102,0,null,null,65.02,8.25,saliva,,,Grandmothers - CDV-,Not reported,saliva
Initial,450K,103,0,null,null,52.9,7.1,whole blood,AMDTSS,Australian Mammographic Density Twins and Sisters Study,AT siblings,Not reported,whole blood
Initial,450K,103,0.46,null,null,69.5,0.7,whole blood,,,Current smokers,European,whole blood
Initial,450K,103,0.52,0,0,0,0,umbilical cord blood,,,Reference group,East Asian,umbilical cord blood
Initial,450K,1034,null,null,null,29.9,4.3,cord blood,MoBa1,,,European,cord blood
Initial,450K,1034,null,null,null,29.9,4.3,cord blood ,MoBa1,,,European,cord blood 
Initial,450K,104,0.41,null,null,16,3,nasal epithelial cell,EVA-PR,Epigenetic Variation and Childhood Asthma in Puerto Ricans,Non-atopic controls,Hispanic or Latin American,nasal epithelial cell
Initial,450K,104,0.52,null,null,47,1.7,adipose tissue,LEAP,New England Family Study,46 current smokers and 58 non-smokers,European;Not reported,adipose tissue
Initial,450K,104,0.55,40,87,68.63,11.01,whole blood,,,,European,whole blood
Initial,450K,1049,null,0,0,0,0,cord blood,MoBa1,Norwegian Mother and Child Cohort Study,,Not reported,cord blood
Initial,450K,1053,null,0,0,0,0,cord blood,MoBa1,Norwegian Mother and Child Cohort Study,,Not reported,cord blood
Initial,450K,106,0.63,null,null,4.2,2.7,whole blood,,Chicago Food Allergy Study,CMA cases,European,whole blood
Initial,450K,1062,0.53,0,0,0,0,cord blood,MoBa,Norwegian Mother and Child Cohort Study,,European,cord blood
Initial,450K,1063,null,0,0,0,0,cord blood,MoBa1,Norwegian Mother and Child Cohort Study,,European,cord blood
Initial,450K,1066,0.53,0,0,0,0,whole blood,MoBa1,,,European,whole blood
Initial,450K,107,0.43,null,null,56.5,10.4,whole blood,REGICOR,EWAS nested in the Girona Heart Registry,Current Smokers,European,whole blood
Initial,450K,1074,0.67,null,null,52.5,10.2,whole blood,LOLIPOP,The London Life Sciences Prospective Population Study,Incident T2D,Asian unspecified,whole blood
Initial,450K,108,null,10,10,10,0,whole blood,IoW,Isle of Wight,,European,whole blood
Initial,450K,108,null,null,null,null,null,kidney,,,,Not reported,kidney
Initial,450K,1085,0.54,45,65,57.3,8.1,whole blood,ICGN,International COPD Genetics Network,,European,whole blood
Initial,450K,1088,0.68,49,82,68,null,whole blood,MCCS,Melbourne Collaborative Cohort Study,,European,whole blood
Initial,450K,109,1,0,7,null,null,whole blood,ARIES,Accessible Resource for Integrated Epigenomics Studies,,Not reported,whole blood
Initial,450K,1091,null,null,null,null,null,whole blood,LBC1936,Lothian Birth Cohort 1936,,Not reported,whole blood
Initial,450K,11,0,23,64,45.5,12.9,CD4+ T cell,,,Controls,European,CD4+ T cell
Initial,450K,11,0,23,69,45.9,15.5,CD4+ T cell,,,pSS cases,European,CD4+ T cell
Initial,450K,11,0,null,null,52.6,4.9,B-lymphocyte,,,control,European,B-lymphocyte
Initial,450K,11,0,null,null,52.6,4.9,T-lymphocyte,,,control,European,T-lymphocyte
Initial,450K,11,0.64,2.7,14,7.5,3.7,bone marrow,,,No abnormal finding (NAF),European,bone marrow
Initial,450K,11,0.64,null,null,65.3,12.6,tumor tissue,,,Non-obese,Not reported,tumor tissue
Initial,450K,11,1,3,6,null,null,buccal epithelium,,,6 FASD patients and 5 matched controls,European,buccal epithelium
Initial,450K,11,1,null,null,22.45,4.74,sperm,,,3 months of exercise training,Not reported,sperm
Initial,450K,11,null,null,null,64.1,12.5,peripheral blood mononuclear cell,,,Responders,Not reported,peripheral blood mononuclear cell
Initial,450K,110,0.41,null,null,11.6,3.4,buccal epithelial cell,,NeuroDevNet FASD cohort,FASD cases,European;Other,buccal epithelial cell
Initial,450K,1103,0.51,null,null,54.5,8.87,leukocyte,KORA,,Baseline,European,leukocyte
Initial,450K,1103,0.51,null,null,61.5,8.9,leukocyte,KORA,,Follow-up,European,leukocyte
Initial,450K,111,0.38,65,90,71,5.9,whole blood,OATS,Older Australian Twins Study,,European,whole blood
Initial,450K,111,0.42,null,null,61.7,7.7,buffy coat,,,Former smokers,African American or Afro-Caribbean,buffy coat
Initial,450K,111,0.45,0,0,0,0,whole blood,NEST,,,European,whole blood
Initial,450K,111,0.6,7.5,7.5,7.5,0,whole blood,ALSPAC,Avon Longitudinal Study of Parents and Children,Current wheeze,Not reported,whole blood
Initial,450K,112,0,null,null,59.9,7.3,whole blood,AMDTSS,Australian Mammographic Density Twins and Sisters Study,BT siblings,Not reported,whole blood
Initial,450K,113,0.44,null,null,8.9,0.1,leukocyte,,,,South Asian,leukocyte
Initial,450K,114,0.55,null,null,65,8,CD14+ monocyte,,,Current smokers,African American or Afro-Caribbean;European;Hispanic or Latin American,CD14+ monocyte
Initial,450K,115,0.48,0,0,0,0,whole blood,Healthy Start,,,Hispanic or Latin American,whole blood
Initial,450K,116,0.49,0,0,0,0,neonatal blood,,,control,Not reported,neonatal blood
Initial,450K,116,0.81,null,null,null,null,lung,EAGLE,Environment And Genetics in Lung cancer Etiology study,Current nonsmokers,Not reported,lung
Initial,450K,116,1,null,null,50,8,whole blood,,,Current (Case),European;Other,whole blood
Initial,450K,117,0.5,26.4,40.6,32.3,null,leukocyte,,,Healthy volunteers,Not reported,leukocyte
Initial,450K,117,0.89,null,null,50.2,8.7,whole blood,VACS,Veteran Aging Cohort Study,HIV-uninfected,African American or Afro-Caribbean;European;Other,whole blood
Initial,450K,117,null,null,null,43.5,4.5,whole blood,BHS,Bogalusa Heart Study,MetS+,African American or Afro-Caribbean,whole blood
Initial,450K,118,0,null,null,50.3,4.8,whole blood,Sister Study,National Institute of Environmental Health Sciences (NIEHS) Sister Study,Never-smoker,European,whole blood
Initial,450K,118,0.5,0,0,0,0,whole blood,IOW F2,,,European,whole blood
Initial,450K,118,null,null,null,31,4.4,cord blood,NHBCS,,,European,cord blood
Initial,450K,118,null,null,null,31,4.4,cord blood ,NHBCS,,,European,cord blood 
Initial,450K,119,0.57,25.5,47.8,34.3,null,leukocyte,,,Ulcerative colitis,Not reported,leukocyte
Initial,450K,12,0,null,null,26.8,2.2,peripheral blood mononuclear cell,,,Fetal Intolerance,African American or Afro-Caribbean,peripheral blood mononuclear cell
Initial,450K,12,0,null,null,50.5,3.6,whole blood,Sister Study,National Institute of Environmental Health Sciences (NIEHS) Sister Study,Current smoker,European,whole blood
Initial,450K,12,0,null,null,52.6,4.9,B-lymphocyte,,,control,European,B-lymphocyte
Initial,450K,12,0,null,null,52.6,4.9,T-lymphocyte,,,control,European,T-lymphocyte
Initial,450K,12,0,null,null,64.6,7.5,B-lymphocyte,,,RA,European,B-lymphocyte
Initial,450K,12,0,null,null,64.6,7.5,T-lymphocyte,,,RA,European,T-lymphocyte
Initial,450K,12,0,null,null,64.8,4.6,peripheral blood mononuclear cell,,,six-month self-management intervention,Not reported,peripheral blood mononuclear cell
Initial,450K,12,0.25,23,57,40.6,11.4,CD4+ T cell,,,control,East Asian,CD4+ T cell
Initial,450K,12,0.25,23,57,40.8,11.5,CD4+ T cell,,,RA,East Asian,CD4+ T cell
Initial,450K,12,0.25,null,null,40.6,11.4,CD4+ T cell,,,RA Controls,East Asian,CD4+ T cell
Initial,450K,12,0.25,null,null,40.8,11.5,CD4+ T cell,,,RA Patients,East Asian,CD4+ T cell
Initial,450K,12,0.33,0,0,0,0,CD4+ T cell,,,Healthy,Not reported,CD4+ T cell
Initial,450K,12,0.33,1,1,1,0,CD4+ T cell,,,Healthy,Not reported,CD4+ T cell
Initial,450K,12,0.42,0,0,0,0,umbilical cord blood,,,Infected,Not reported,umbilical cord blood
Initial,450K,12,0.42,0,0,0,0,umbilical cord blood,,,Non-infected,Not reported,umbilical cord blood
Initial,450K,12,0.42,2,30,16.1,8.5,whole blood,,,control,Not reported,whole blood
Initial,450K,12,0.42,4,30,16.3,8.4,whole blood,,,type 1 diabetes,Not reported,whole blood
Initial,450K,12,0.42,null,null,31.4,6.7,leukocyte,,,10 h after the first metformin intake,Not reported,leukocyte
Initial,450K,12,0.42,null,null,31.4,6.7,leukocyte,,,before starting a metformin therapy,Not reported,leukocyte
Initial,450K,12,0.42,null,null,31.4,6.7,leukocyte,,,time point after 7 days of metformin administration,Not reported,leukocyte
Initial,450K,12,0.42,null,null,69,9.1,peripheral blood mononuclear cell,,,MZ twins Control,Not reported,peripheral blood mononuclear cell
Initial,450K,12,0.42,null,null,69,9.1,peripheral blood mononuclear cell,,,MZ twins Parkinson's disease,Not reported,peripheral blood mononuclear cell
Initial,450K,12,0.5,8.8,9.2,9,null,whole blood,PMNS,Pune Maternal Nutrition Study,B12 Supplementation,Not reported,whole blood
Initial,450K,12,0.5,null,null,43,13,neutrophil,,,control,European,neutrophil
Initial,450K,12,0.5,null,null,68.3,7.7,skeletal muscle,,,Type 2 diabetic,European,skeletal muscle
Initial,450K,12,0.5,null,null,68.3,7.7,subcutaneous adipose tissue,,,Non-diabetic,European,subcutaneous adipose tissue
Initial,450K,12,0.58,10.7,10.9,10.7,null,whole blood,PMNS,Pune Maternal Nutrition Study,Placebo,Not reported,whole blood
Initial,450K,12,0.58,47,65,60,4.9,gastric mucosa,,,gastric cancer patients,Not reported,gastric mucosa
Initial,450K,12,0.58,52,68,62,4.7,gastric mucosa,,,individuals with gastric atrophy,Not reported,gastric mucosa
Initial,450K,12,0.58,8.9,9.2,9.1,null,whole blood,PMNS,Pune Maternal Nutrition Study,Placebo,Not reported,whole blood
Initial,450K,12,0.6,8.9,9.2,8.9,null,whole blood,PMNS,Pune Maternal Nutrition Study,B12 + folic acid Supplementation,Not reported,whole blood
Initial,450K,12,0.66,20,50,37,10.9,whole blood,,,,European,whole blood
Initial,450K,12,0.75,0,0,0,0,CD4+ T cell,,,Food Allergy,Not reported,CD4+ T cell
Initial,450K,12,0.75,0,0,0,0,neonatal blood,,,Behavioral Disorders,Not reported,neonatal blood
Initial,450K,12,0.75,1,1,1,0,CD4+ T cell,,,Food Allergy,Not reported,CD4+ T cell
Initial,450K,12,0.75,null,null,71,7.2,peripheral blood mononuclear cell,,,Poor responder,East Asian,peripheral blood mononuclear cell
Initial,450K,12,1,18,24,21.1,2.7,leukocyte,,,4 wk (thrice weekly) of sprint interval training,Not reported,leukocyte
Initial,450K,12,1,24,28,26.3,null,sperm,GUTS,Growing Up Today Study,childhood abuse (None),European,sperm
Initial,450K,12,1,null,null,21.58,2.71,whole blood,,,Congenital hypopituitarism,Not reported,whole blood
Initial,450K,12,1,null,null,24,3.67,whole blood,,,Controls,Not reported,whole blood
Initial,450K,12,1,null,null,43.8,17.6,skin,,,PP,Not reported,skin
Initial,450K,12,1,null,null,68,15.5,peripheral blood mononuclear cell,,,Good responder,East Asian,peripheral blood mononuclear cell
Initial,450K,12,null,null,null,28.4,8,peripheral blood mononuclear cell,,,Responders,Not reported,peripheral blood mononuclear cell
Initial,450K,12,null,null,null,63.2,7.4,peripheral blood mononuclear cell,,,Non-responders,Not reported,peripheral blood mononuclear cell
Initial,450K,12,null,null,null,null,null,cartilage,,,knee OA patients,Not reported,cartilage
Initial,450K,12,null,null,null,null,null,peripheral blood mononuclear cell,,,non-COPD age-matched subjects,Not reported,peripheral blood mononuclear cell
Initial,450K,120,0,null,null,null,null,whole blood,KORA F4,Kooperative Gesundheitsforschung in der Region Augsburg,Current smokers,Not reported,whole blood
Initial,450K,120,0.48,34,75,46.7,5.8,whole blood,BSGS,Brisbane Systems Genetics Study,,European,whole blood
Initial,450K,1202,0.49,52,68,60,null,whole blood,MESA,,,African American or Afro-Caribbean;European;Hispanic or Latin American,whole blood
Initial,450K,1207,0.48,null,null,69.6,9.4,CD14+ monocyte,MESA,Multi-Ethnic Study of Atherosclerosis,,African American or Afro-Caribbean;European;Hispanic or Latin American,CD14+ monocyte
Initial,450K,121,0,17,76,38,null,breast,,,,African American or Afro-Caribbean;European,breast
Initial,450K,121,0,28,91,62.2,11.3,leukocyte,,,case,European,leukocyte
Initial,450K,121,0.52,24.9,50.7,32.4,null,leukocyte,,,Crohn’s disease,Not reported,leukocyte
Initial,450K,121,0.89,null,null,null,null,lung,EAGLE,Environment And Genetics in Lung cancer Etiology study,Current smokers,Not reported,lung
Initial,450K,1216,null,null,null,null,null,cancer tissues,TCGA,The Cancer Genome Atlas,,Not reported,cancer tissues
Initial,450K,122,0.8,null,null,65.2,2.7,whole blood,HBCS,,,European,whole blood
Initial,450K,123,0,null,null,null,null,peripheral blood mononuclear cell,,,unaffected controls,Not reported,peripheral blood mononuclear cell
Initial,450K,123,0.41,null,null,null,null,whole blood,,,,Greater Middle Eastern,whole blood
Initial,450K,124,0.42,0,0,0,0,cord blood,,,Never-smokers,East Asian,cord blood
Initial,450K,124,0.516,null,null,null,null,tumor tissue,,,,Not reported,tumor tissue
Initial,450K,1249,0.675,null,null,69.1,8.1,whole blood,MCCS,Melbourne Collaborative Cohort Study,,Not reported,whole blood
Initial,450K,1251,0.48,null,null,60,9,CD14+ monocyte,MESA,Multi-Ethnic Study of Atherosclerosis,"EA (n = 588), AA (n = 263) and Hispanic ancestry (n = 400)",African American or Afro-Caribbean;European;Hispanic or Latin American,CD14+ monocyte
Initial,450K,126,0.45,0,0,0,0,cord blood,ALSPAC,Avon Longitudinal Study of Parents and Children,Controls,Not reported,cord blood
Initial,450K,126,0.52,0,0,0,0,cord blood,GECKO,,Unexposed,European,cord blood
Initial,450K,1262,0.21,null,null,56.5,5.8,buffy coat,,,Never smokers,African American or Afro-Caribbean,buffy coat
Initial,450K,127,0.49,0,0,0,0,cord blood,,,,South Asian,cord blood
Initial,450K,127,0.51,0,0,0,0,cord blood,,,,Not reported,cord blood
Initial,450K,127,0.57,null,null,55.3,16.1,whole blood,TCGA,The Cancer Genome Atlas,Training group,African unspecified;Asian unspecified;European;Not reported,whole blood
Initial,450K,127,0.58,0,0,0,0,whole blood,CBC,,,Hispanic or Latin American,whole blood
Initial,450K,1275,0.51,null,null,60,9,whole blood,EPIC-Norfolk,European Prospective Investigation into Cancer and Nutrition,,European,whole blood
Initial,450K,1275,null,0,0,0,0,cord blood,MoBa,Norwegian Mother and Child Cohort Study,,European,cord blood
Initial,450K,128,0.24,null,null,38.4,12.9,whole blood,,,Never smokers,African American or Afro-Caribbean,whole blood
Initial,450K,129,0,null,null,56.57,3.98,buffy coat,NOWAC,Norwegian Women and Cancer Study,Controls,Not reported,buffy coat
Initial,450K,129,0.54,0,0,0,0,cord blood,GECKO,,,European,cord blood
Initial,450K,13,0,21,66,49.8,14.3,CD14+ monocyte,,,Myasthenia gravis,European,CD14+ monocyte
Initial,450K,13,0,null,null,40,9,whole blood,,,control,European,whole blood
Initial,450K,13,0,null,null,53.5,7.9,myoblast,,,women,Not reported,myoblast
Initial,450K,13,0,null,null,53.5,7.9,myotube,,,women,Not reported,myotube
Initial,450K,13,0.15,2.3,7,4.28,1.39,bone marrow,,,t(12;21),European,bone marrow
Initial,450K,13,0.23,0,0,0,0,placenta,,,EOPE,Not reported,placenta
Initial,450K,13,0.23,0,0,0,0,umbilical cord leukocyte,,,EOPE,Not reported,umbilical cord leukocyte
Initial,450K,13,0.46,35,79,59.6,9.8,colorectal tumour,,,Active smokers,Not reported,colorectal tumour
Initial,450K,13,1,null,null,17.2,4.3,whole blood,,EuroPrevall study,Tolerant control boys,European,whole blood
Initial,450K,13,1,null,null,24.4,5.19,sperm,,,control,Not reported,sperm
Initial,450K,13,1,null,null,52.4,5.3,myoblast,,,men,Not reported,myoblast
Initial,450K,13,1,null,null,52.4,5.3,myotube,,,men,Not reported,myotube
Initial,450K,130,1,0,0,0,0,whole blood,,,,European;Not reported,whole blood
Initial,450K,131,0,null,null,56.55,4.01,buffy coat,NOWAC,Norwegian Women and Cancer Study,Cases,Not reported,buffy coat
Initial,450K,131,0.53,0,0,0,0,whole blood,EARLI,,,Other admixed ancestry,whole blood
Initial,450K,132,0,30,74,49,15.5,whole blood,DTR,,,European,whole blood
Initial,450K,132,0.49,null,null,32.2,9.8,whole blood,,,Obese,Not reported,whole blood
